Name,Location,Phone,Search
Ministop -  Trương Vĩnh Ký,"212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 4449,"Ministop -  Trương Vĩnh Ký 212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh."
Ministop -  Nguyễn Trãi 2,"318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1557,"Ministop -  Nguyễn Trãi 2 318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh."
Ministop -  Lê Văn Sỹ 2,"407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2759,"Ministop -  Lê Văn Sỹ 2 407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh."
Ministop -  Scenic Valley 2,"A0.03, trệt + lầu 1 (Tầng 1+2), Dự án khu dân cư Scenic Valley 2 (Lô MD4-4) – Phú Mỹ Hưng, Phường Tân Mỹ, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3722 5226,"Ministop -  Scenic Valley 2 A0.03, trệt + lầu 1 (Tầng 1+2), Dự án khu dân cư Scenic Valley 2 (Lô MD4-4) – Phú Mỹ Hưng, Phường Tân Mỹ, Thành phố Hồ Chí Minh."
Ministop -  Nơ Trang Long,"24 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 2970,"Ministop -  Nơ Trang Long 24 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh."
Ministop -  Trần Quốc Hoàn,"117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 8049,"Ministop -  Trần Quốc Hoàn 117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh."
Ministop -  Võ Oanh,"92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 5934,"Ministop -  Võ Oanh 92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh."
Ministop -  Tô Vĩnh Diện,"3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5044,"Ministop -  Tô Vĩnh Diện 3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
Ministop -  Hoàng Việt 3,"22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5027,"Ministop -  Hoàng Việt 3 22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Đường số 20,"29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2998,"Ministop -  Đường số 20 29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
Ministop -  Đường số 1,"124 Đường số 01, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3817,"Ministop -  Đường số 1 124 Đường số 01, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Lý Chính Thắng,"226/1A - 228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1645,"Ministop -  Lý Chính Thắng 226/1A - 228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh."
Ministop -  Cư xá Phú Lâm,"D 48 Lô C, Đường nội bộ Cư xá Phú Lâm D, Phường 10, Quận 6, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3636 6327,"Ministop -  Cư xá Phú Lâm D 48 Lô C, Đường nội bộ Cư xá Phú Lâm D, Phường 10, Quận 6, Thành phố Hồ Chí Minh."
Ministop -  Lê Minh Xuân,"102 Lê Minh Xuân, Phường 07, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1691,"Ministop -  Lê Minh Xuân 102 Lê Minh Xuân, Phường 07, Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Đường số 29,"102 Đường số 29, Khu phố 2, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 0928,"Ministop -  Đường số 29 102 Đường số 29, Khu phố 2, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh."
Ministop -  Tân Sơn Nhì 3,"200A - 200B Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3802,"Ministop -  Tân Sơn Nhì 3 200A - 200B Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Tân Kỳ Tân Quý 3,"164A Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9962,"Ministop -  Tân Kỳ Tân Quý 3 164A Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Alnata Plus – Celadon City,"S2.0.02, Tầng Trệt và Tầng 1, Khối đế P2, Khu A6 (Alnata Plus – Celadon City), Số 2, Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1606,"Ministop -  Alnata Plus – Celadon City S2.0.02, Tầng Trệt và Tầng 1, Khối đế P2, Khu A6 (Alnata Plus – Celadon City), Số 2, Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Đường 154,"223 Đường 154, Phường Tân Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1830,"Ministop -  Đường 154 223 Đường 154, Phường Tân Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
Ministop -  Tô Hiến Thành,"161 Tô Hiến Thành, Phường 13, Quận 10, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5929,"Ministop -  Tô Hiến Thành 161 Tô Hiến Thành, Phường 13, Quận 10, Thành phố Hồ Chí Minh."
Ministop -  Westgate,"0.04 Lầu Trệt (Thông tầng) Tháp A1, Dự án Westgate, Lô F Trung tâm hành chính huyện Bình Chánh, Đường Tân Túc, Khu phố 4, Thị trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9715,"Ministop -  Westgate 0.04 Lầu Trệt (Thông tầng) Tháp A1, Dự án Westgate, Lô F Trung tâm hành chính huyện Bình Chánh, Đường Tân Túc, Khu phố 4, Thị trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh."
Ministop -  Chương Dương 2,"24A Chương Dương, Khu phố 3, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3620 1353,"Ministop -  Chương Dương 2 24A Chương Dương, Khu phố 3, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh"
Ministop -  UOA Tower,"UOA Tower, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6356,"Ministop -  UOA Tower UOA Tower, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh."
Ministop -  Mạc Đĩnh Chi 2,"65 Bis Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7389,"Ministop -  Mạc Đĩnh Chi 2 65 Bis Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh."
Ministop -  Điện Biên Phủ 2,"153 Điện Biên Phủ, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 9940,"Ministop -  Điện Biên Phủ 2 153 Điện Biên Phủ, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh."
Ministop -  Lê Quang Định 2,"97 Lê Quang Định, Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9517,"Ministop -  Lê Quang Định 2 97 Lê Quang Định, Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh."
Ministop -  An Dương Vương,"822 - 824 An Dương Vương, Phường 13, Quận 6, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6125,"Ministop -  An Dương Vương 822 - 824 An Dương Vương, Phường 13, Quận 6, Thành phố Hồ Chí Minh."
Ministop -  Hòa Bình,"53 Hòa Bình, Phường Tân Thới Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2686,"Ministop -  Hòa Bình 53 Hòa Bình, Phường Tân Thới Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Đại Lộ 3,"163 Đại Lộ 3, Phường Phước Bình, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1829,"Ministop -  Đại Lộ 3 163 Đại Lộ 3, Phường Phước Bình, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
Ministop -  Đường số 12,"13A Đường số 12, Khu phố 4, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1716,"Ministop -  Đường số 12 13A Đường số 12, Khu phố 4, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
Ministop -  Kha Vạn Cân,"819 Kha Vạn Cân, Khu phố 2, Phường Linh Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9830,"Ministop -  Kha Vạn Cân 819 Kha Vạn Cân, Khu phố 2, Phường Linh Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
Ministop -  Đại học Văn Lang,"233A Phan Văn Trị, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 5822,"Ministop -  Đại học Văn Lang 233A Phan Văn Trị, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh."
Ministop -  Dương Đức Hiền,"33 - 35 Dương Đức Hiền, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3957,"Ministop -  Dương Đức Hiền 33 - 35 Dương Đức Hiền, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Hoàng Việt 2,"59 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3960,"Ministop -  Hoàng Việt 2 59 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Âu Dương Lân,"352A Âu Dương Lân, Phường Rạch Ông, Quận 8, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2885,"Ministop -  Âu Dương Lân 352A Âu Dương Lân, Phường Rạch Ông, Quận 8, Thành phố Hồ Chí Minh."
Ministop -  Hoàng Hoa Thám 4,"153A Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2722,"Ministop -  Hoàng Hoa Thám 4 153A Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Nguyễn Văn Lượng,"368/16 Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3315,"Ministop -  Nguyễn Văn Lượng 368/16 Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Thành phố Hồ Chí Minh."
Ministop -  Nguyễn Chí Thanh,"157 - 157A Nguyễn Chí Thanh, Phường 12, Quận 05, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3622,"Ministop -  Nguyễn Chí Thanh 157 - 157A Nguyễn Chí Thanh, Phường 12, Quận 05, Thành phố Hồ Chí Minh."
Ministop -  Bùi Văn Ba,"208 Bùi Văn Ba, Khu phố 2, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7045,"Ministop -  Bùi Văn Ba 208 Bùi Văn Ba, Khu phố 2, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh."
Ministop -  Cityland Park Hills 2,"Lô thương mại TMDV03 tại tầng 1, địa chỉ số 0.08 Chung cư CH3, Đường số 8, Khu dân cư Cityland, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 0912619489,"Ministop -  Cityland Park Hills 2 Lô thương mại TMDV03 tại tầng 1, địa chỉ số 0.08 Chung cư CH3, Đường số 8, Khu dân cư Cityland, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh."
Ministop -  Khu dân cư Vĩnh Lộc,"01 Đường số 8, Khu dân cư Vĩnh Lộc, Khu phố 4, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5987,"Ministop -  Khu dân cư Vĩnh Lộc 01 Đường số 8, Khu dân cư Vĩnh Lộc, Khu phố 4, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh."
Ministop -  Lạc Long Quân 3,"353 Lạc Long Quân, Phường 05, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9627,"Ministop -  Lạc Long Quân 3 353 Lạc Long Quân, Phường 05, Quận 11, Thành phố Hồ Chí Minh."
Ministop -  Đất Mới,"367 Đất Mới, Khu phố 5, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 1848,"Ministop -  Đất Mới 367 Đất Mới, Khu phố 5, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh."
Ministop -  Phạm Văn Bạch,"997 Phạm Văn Bạch, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 2946,"Ministop -  Phạm Văn Bạch 997 Phạm Văn Bạch, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh."
Ministop -  Cao ốc Re,"Tầng 1&2 – TMDV 03 – Cao ốc RES11, 205 Lạc Long Quân, Phường 03, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 7719,"Ministop -  Cao ốc Re Tầng 1&2 – TMDV 03 – Cao ốc RES11, 205 Lạc Long Quân, Phường 03, Quận 11, Thành phố Hồ Chí Minh."
Ministop -  Phan Văn Đạt,"13 Phan Văn Đạt, Phường Bến Nghé, Quận 01, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3510 0838,"Ministop -  Phan Văn Đạt 13 Phan Văn Đạt, Phường Bến Nghé, Quận 01, Thành phố Hồ Chí Minh."
Ministop -  Lý Tự Trọng 3,"126 Lý Tự Trọng, Phường Bến Thành, Quận 01, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9447,"Ministop -  Lý Tự Trọng 3 126 Lý Tự Trọng, Phường Bến Thành, Quận 01, Thành phố Hồ Chí Minh."
Ministop -  Tân Quý 2,"192 - 194 Tân Quý, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5590,"Ministop -  Tân Quý 2 192 - 194 Tân Quý, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Trần Bình Trọng,"52G Trần Bình Trọng, Phường 05, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3515 6095,"Ministop -  Trần Bình Trọng 52G Trần Bình Trọng, Phường 05, Quận Bình Thạnh, Thành phố Hồ Chí Minh."
Ministop -  Lạc Long Quân 2,"109 Lạc Long Quân, Phường 01, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 4151,"Ministop -  Lạc Long Quân 2 109 Lạc Long Quân, Phường 01, Quận 11, Thành phố Hồ Chí Minh."
Ministop -  Thành Thái 3,"5 Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 1890,"Ministop -  Thành Thái 3 5 Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh."
Ministop -  Mã Lò,"168 Mã Lò, Khu phố 2, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 8400,"Ministop -  Mã Lò 168 Mã Lò, Khu phố 2, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh."
Ministop -  Lê Văn Thọ,"314 Lê Văn Thọ, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 2762,"Ministop -  Lê Văn Thọ 314 Lê Văn Thọ, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh."
Ministop -  Lê Đức Thọ 2,"1177 Lê Đức Thọ, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 2745,"Ministop -  Lê Đức Thọ 2 1177 Lê Đức Thọ, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh."
Ministop -  Cư Xá Lữ Gia,"77B Đường số 2 Cư Xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6285,"Ministop -  Cư Xá Lữ Gia 77B Đường số 2 Cư Xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh."
