,Location,Phone
0,"212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 4449
1,"318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1557
2,"407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2759
3,"A0.03, trệt + lầu 1 (Tầng 1+2), Dự án khu dân cư Scenic Valley 2 (Lô MD4-4) – Phú Mỹ Hưng, Phường Tân Mỹ, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3722 5226
4,"24 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 2970
5,"117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 8049
6,"92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 5934
7,"3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5044
8,"22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5027
9,"29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2998
10,"124 Đường số 01, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3817
11,"226/1A - 228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1645
12,"D 48 Lô C, Đường nội bộ Cư xá Phú Lâm D, Phường 10, Quận 6, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3636 6327
13,"102 Lê Minh Xuân, Phường 07, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1691
14,"102 Đường số 29, Khu phố 2, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 0928
15,"200A - 200B Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3802
16,"164A Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9962
17,"S2.0.02, Tầng Trệt và Tầng 1, Khối đế P2, Khu A6 (Alnata Plus – Celadon City), Số 2, Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1606
18,"223 Đường 154, Phường Tân Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1830
19,"161 Tô Hiến Thành, Phường 13, Quận 10, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5929
20,"0.04 Lầu Trệt (Thông tầng) Tháp A1, Dự án Westgate, Lô F Trung tâm hành chính huyện Bình Chánh, Đường Tân Túc, Khu phố 4, Thị trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9715
21,"24A Chương Dương, Khu phố 3, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3620 1353
22,"UOA Tower, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6356
23,"65 Bis Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7389
24,"153 Điện Biên Phủ, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 9940
25,"97 Lê Quang Định, Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9517
26,"822 - 824 An Dương Vương, Phường 13, Quận 6, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6125
27,"53 Hòa Bình, Phường Tân Thới Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2686
28,"163 Đại Lộ 3, Phường Phước Bình, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1829
29,"13A Đường số 12, Khu phố 4, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1716
30,"819 Kha Vạn Cân, Khu phố 2, Phường Linh Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9830
31,"233A Phan Văn Trị, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 5822
32,"33 - 35 Dương Đức Hiền, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3957
33,"59 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3960
34,"352A Âu Dương Lân, Phường Rạch Ông, Quận 8, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2885
35,"153A Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2722
36,"368/16 Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3315
37,"157 - 157A Nguyễn Chí Thanh, Phường 12, Quận 05, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 3622
38,"208 Bùi Văn Ba, Khu phố 2, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7045
39,"Lô thương mại TMDV03 tại tầng 1, địa chỉ số 0.08 Chung cư CH3, Đường số 8, Khu dân cư Cityland, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 0912619489
40,"01 Đường số 8, Khu dân cư Vĩnh Lộc, Khu phố 4, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5987
41,"353 Lạc Long Quân, Phường 05, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9627
42,"367 Đất Mới, Khu phố 5, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 1848
43,"997 Phạm Văn Bạch, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 2946
44,"Tầng 1&2 – TMDV 03 – Cao ốc RES11, 205 Lạc Long Quân, Phường 03, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 7719
45,"13 Phan Văn Đạt, Phường Bến Nghé, Quận 01, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3510 0838
46,"126 Lý Tự Trọng, Phường Bến Thành, Quận 01, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9447
47,"192 - 194 Tân Quý, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5590
48,"52G Trần Bình Trọng, Phường 05, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3515 6095
49,"109 Lạc Long Quân, Phường 01, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 4151
50,"5 Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 1890
51,"168 Mã Lò, Khu phố 2, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 8400
52,"314 Lê Văn Thọ, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 2762
53,"1177 Lê Đức Thọ, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 2745
54,"77B Đường số 2 Cư Xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6285
55,"786 Nguyễn Kiệm, Phường 03, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 2817
56,"446 Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 8695
57,"Cửa hàng thương mại số SH11 và SH12, Dự án One Verandah, số 02 đường Bát Nàn, Khu phố 01, Phường Thạnh Mỹ Lợi, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7816
58,"107 Đường số 01, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6390
59,"5/7A Âu Cơ, Phường 09, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7917
60,"221/40 Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7927
61,"101A Lý Tự Trọng, Phường Bến Thành, Quận 01, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7827
62,"55 Thạch Thị Thanh, Phường Tân Định, Quận 01, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3535 8719
63,"220/82 Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh",Số điện thoại: (028) 35357819
64,"46 Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9817
65,"143 Đường số 28, Phường 6, Quận Gò Vấp, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3535 7607
66,"83 Đường số 59, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3535 2965
67,"96 Huỳnh Văn Nghệ, Phường 15 Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9976
68,"280 Thạch Lam, Phường Phú Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9529
69,"270A - 272 Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9985
70,"92 – 94 Bùi Quang Là, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6718
71,"Lô thương mại dịch vụ B1 tầng 1, Chung cư Topaz City - 39 Cao Lỗ, Phường 04, Quận 08, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 8677
72,"307A – 307B – 307C Bàu Cát, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9049
73,"293B – 293C Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3535 5980
74,"220 Phạm Văn Chí, Phường 1, Quận 06, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 3427
75,"86 – 88 Đường số 10, Phường 13, Quận 06, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 1590
76,"113 Thạch Lam, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 3498
77,"Tầng trệt gian hàng số 02, Trạm xe buýt và khu thương mại dịch vụ thuộc Lô MC5 thuộc khu đô thị mới Vàm Cỏ Đông, Xã An Thạnh, Huyện Bến Lức, Tỉnh Long An.",Số điện thoại: (028) 0916180127
78,"AK5-00.01 Akari City, 77 Võ Văn Kiệt P.An Lạc, Q.Bình Tân, TP.HCM",Số điện thoại: (028) 3535 9478
79,"165 Đường số 6, Phường Bình Trị Đông B, Quận Bình Tân, TP. HCM",Số điện thoại: (028) 3535 7967
80,"135 - 137 Vũ Tùng, Phường 2, Quận Bình Thạnh, TPHCM",Số điện thoại: (028) 3535 8575
81,"141 Thống Nhất, Phường Tân Thành, Quận Tân Phú, TPHCM",Số điện thoại: (028) 3535 8667
82,527 Lê Đức Thọ P.16 Q.Gò Vấp,Số điện thoại: (028) 3535 5827
83,"57K Tô Hiệu, P.Hiệp Tân, Q.Tân Phú",Số điện thoại: (028) 3535 3317
84,"120 - 122 Võ Thành Trang, Phường 11, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3636 5586
85,"282 - 284 Tôn Thất Hiệp, Phường 8, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3636 1876
86,"Căn hộ thương mại số S-16 gồm 01 Tầng Thuộc Dự Án Sunwah Pearl, số 90 Nguyễn Hữu Cảnh, phường 22, quận Bình Thạnh, TP. HCM",Số điện thoại: (028) 3535 6968
87,"Căn D2.01.04-TM tại tầng 01 và tầng 02 của tháp D2 thuộc Khu nhà ở cao tầng Công ty Saphire tại số 454 đường Võ Chí Công, Khu phố 2, phường Phú Hữu, Tp. Thủ Đức, TP.HCM.",Số điện thoại: (028) 3535 0335
88,"I-1.TM.05, Khu vực thương mại khối Iris(I), Khu Phức Hợp HaDo Centrosa, số 200, đường 3/2, Phường 12, Quận 10, TP. HCM.",Số điện thoại: (028) 3535 0479
89,"Căn D0.02 Khu nhà ở xã Phước Kiển, huyện Nhà Bè – Khu nhà ở Nam Sài Gòn Residences, ấp 5, xã Phước Kiển, huyện Nhà Bè, TP.Hồ Chí Minh",Số điện thoại: (028) 0917 425 576
90,"A.1.02 tại Tầng 01, tháp A thuộc Trung tâm Thương mại – Dịch vụ, Officetel và Căn hộ ở tại số 34 – 35 Bến Vân Đồn, Phường 13, Quận 4, TPHCM",Số điện thoại: (028) 3535 1479
91,"A1-1-5, Tầng số 1 Tháp A Tòa Nhà The CBD tại số 125 Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Tp. Thủ Đức, TP.HCM.",Số điện thoại: (028) 3620 8057
92,"945 - 947 Trần Hưng Đạo, Phường 01, Quận 5, TP. HCM",Số điện thoại: (028) 3620 4116
93,"563 Điện Biên Phủ, Phường 1, Quận 3, TP.HCM.",Số điện thoại: (028) 3830 0797
94,"114 Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Tp.HCM",Số điện thoại: (028) 3620 7236
95,"56 Hoàng Diệu 2, Phường Linh Chiểu, Tp. Thủ Đức, Tp.HCM",Số điện thoại: (028) 3620 9039
96,"927 Nguyễn Trãi, Phường 14, Quận 5, Tp.HCM",Số điện thoại: (028) 3853 7789
97,"SH-7C, 12A Đường A5 Khu dân cư Palm Residence, Khu phố 3, Phường An Phú, Tp. Thủ Đức, Tp.HCM",Số điện thoại: (028) 3620 4986
98,"Lô thương mại SH1 thuộc chung cư cao cấp Homyland Riverside, 14 Đường số 1-THM, Phường Bình Trưng Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5377
99,"Park Hills P5-00.10, Tầng 1, Tòa nhà chung cư CH1, số 18 Phan Văn Trị, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 2250 8150
100,"21 Mai Thị Lựu, Phường Đa Kao, Quận 1, TP.HCM",Số điện thoại: (028) 3820 8079
101,"73 Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, TP.HCM",Số điện thoại: (028) 3620 5650
102,"TMDV30, Dự án Masteri An Phú, 179 Võ Nguyên Giáp, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 0495
103,"SAV.5-00.06 The Sun Avenue, 28 Mai Chí Thọ, Phường An Phú, TP. Thủ Đức, TP. HCM",Số điện thoại: (028) 3636 6035
104,"43F Hồ Văn Huê, Phường 9, Quận Phú Nhuận",Số điện thoại: (028) 3636 8140
105,"Căn B2.2G, Tầng B2, Tháp Hawaii, Đảo Kim Cương, Số 1 Đường 104 - BTT, KP. 3, P. Bình Trưng Tây, TP. Thủ Đức, TP. HCM",Số điện thoại: (028) 3636 8920
106,"Căn A2SH09 tầng trệt và tầng 01 tòa A2 Vinhomes Golden River, 02 Tôn Đức Thắng, Phường Bến Nghé, Quận 1",Số điện thoại: (028) 3636 6044
107,"666/64 Đường 3/2, Phường 14, Quận 10",Số điện thoại: (028) 3863 8684
108,"94D2 Phùng Văn Cung, Phường 7, Quận Phú Nhuận",Số điện thoại: (028) 3995 0577
109,"11 Lê Thánh Tôn, Phường Bến Nghé, Quận 1",Số điện thoại: (028) 3825 1200
110,"519 - 521 Hoàng Văn Thụ, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 38115717
111,"163 Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1",Số điện thoại: (028) 3915 3350
112,"DH.7 thuộc Khu cao ốc văn phòng và Căn hộ chung cư số 5B đường Phổ Quang, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3636 1230
113,"216C Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1",Số điện thoại: (028) 3935 0959
114,"TK 17/1 Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1",Số điện thoại: (028) 3838 6900
115,"Gian hàng số BB-S01, Tầng trệt, KDC New City, Số 17 Mai Chí Thọ, KP.3, Phường An Khánh, TP. Thủ Đức, TP. HCM",Số điện thoại: (028) 3636 5005
116,"69 Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7",Số điện thoại: (028) 3636 0966
117,"120 Xa Lộ Hà Nội, Phường Tân Phú, TP. Thủ Đức, TP. HCM",Số điện thoại: (028) 3636 0580
118,"7A/7 Thành Thái, Phường 14, Quận 10",Số điện thoại: (028) 3868 8085
119,"15A Phân khu E1, Khu Công Nghệ Cao, Xa Lộ Hà Nội, Phường Hiệp Phú, TP. Thủ Đức, TP. HCM",Số điện thoại: (028) 7109 9388
120,"79 Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh",Số điện thoại: (028) 3899 0639
121,"87 Vạn Kiếp, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3551 5717
122,"75 Phú Thọ, Phường 1, Quận 11",Số điện thoại: (028) 3960 1226
123,"215 Điện Biên Phủ, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3512 5039
124,"62 Bình Giã, Phường 13, Quận Tân Bình",Số điện thoại: (028) 3810 6939
125,"262 - 264 Cao Thắng, Phường 12, Quận 10",Số điện thoại: (028) 3862 0672
126,"41 Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận",Số điện thoại: (028) 3995 0993
127,"113-115 Thích Quảng Đức, Phường 4, Quận Phú Nhuận",Số điện thoại: (028) 3990 3086
128,"31/53 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh",Số điện thoại: (028) 3898 0400
129,"192A Hoàng Diệu, Phường 9, Quận 4",Số điện thoại: (028) 3826 6896
130,"341 Sư Vạn Hạnh, Phường 10, Quận 10",Số điện thoại: (028) 3834 5580
131,"T5-B01.03+04, tại tầng 1 thuộc dự án Khu nhà ở chung cư cao cấp Masteri Thảo Điền, số 159 Võ Nguyên Giáp, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2963
132,"108A Bành Văn Trân, Phường 7, Quận Tân Bình",Số điện thoại: (028) 3970 1107
133,"46 Nguyễn Lâm, Phường 6, Quận 10",Số điện thoại: (028) 3853 3539
134,"136 Thành Thái, Phường 12, Quận 10",Số điện thoại: (028) 3868 0989
135,"119 Lý Nam Đế, Phường 7, Quận 11, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3955 1559
136,"138 Nguyễn Thiện Thuật, Phường 3, Quận 3",Số điện thoại: (028) 3832 8699
137,"177 - 179 Trần Nhân Tôn, Phường 2, Quận 10",Số điện thoại: (028) 3830 1383
138,"247C Bùi Đình Túy, Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3511 6336
139,"157 Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh",Số điện thoại: (028) 3511 6179
140,"8 Vũ Tông Phan, Phường An Phú, TP. Thủ Đức, TP. HCM",Số điện thoại: (028) 3620 5039
141,"120 Bình Thới, Phường 14, Quận 11",Số điện thoại: (028) 3860 0907
142,"18 Hoàng Hoa Thám, Phường 12, Quận Tân Bình",Số điện thoại: (028) 3811 2879
143,"43 Trần Quý Cáp, Phường 12, Quận Bình Thạnh",Số điện thoại: (028) 3516 3889
144,"435 Sư Vạn Hạnh, Phường 12, Quận 10",Số điện thoại: (028) 3862 1136
145,"47 Trần Quốc Toản, Phường Võ Thị Sáu, Quận 3",Số điện thoại: (028) 3820 6188
146,"60 Đường số 5, Khu cư xá Bình Thới, Phường 8, Quận 11",Số điện thoại: (028) 3962 0886
147,"15 Nguyễn Du, Phường 1, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3894 1268
148,"181/13 Xóm Chiếu, Phường 16, Quận 4",Số điện thoại: (028) 3825 9396
149,"484 Lê Quang Định, Phường 11, Quận Bình Thạnh",Số điện thoại: (028) 3515 5136
150,"114 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1",Số điện thoại: (028) 3836 4339
151,"Nhà A19 - Ký túc xá Khu A Đại học Quốc Gia, Khu phố Tân Lập, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương",Số điện thoại: (028) 3620 1065
153,"61 Hoa Sứ, Phường 7, Quận Phú Nhuận",Số điện thoại: (028) 3510 0286
154,"75 (Tầng 1) Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Quận 1",Số điện thoại: (028) 3823 3968
155,"15K Vũ Huy Tấn, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3510 0388
156,"17 Đào Duy Từ, Phường 8, Quận 10, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3857 9993
157,"351A Nguyễn Trọng Tuyển, Phường 1, Quận Tân Bình",Số điện thoại: (028) 3842 0122
158,"56 Vườn Lài, Phường Tân Thành, Quận Tân Phú",Số điện thoại: (028) 3810 2988
159,"33 Thăng Long, Phường 4, Quận Tân Bình",Số điện thoại: (028) 3948 4878
160,"106 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh",Số điện thoại: (028) 3512 2039
161,"79 Trần Khắc Chân, Phường Tân Định, Quận 1",Số điện thoại: (028) 3526 8939
162,"204 Phạm Văn Hai, Phường 5, Quận Tân Bình",Số điện thoại: (028) 3846 0899
163,"207 Nguyễn Biểu, Phường 2, Quận 5",Số điện thoại: (028) 3838 3663
164,"88-88A-90-92 Trương Công Định, Phường 14, Quận Tân Bình Số điện thoại:",Số điện thoại: (028) 3849 0929
165,"B22 Bạch Đằng, Phường 2, Quận Tân Bình Số điện thoại:",Số điện thoại: (028) 3848 6579
166,"69 Ngô Tất Tố, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh. Số điện thoại:",Số điện thoại: (028) 3514 0979
167,"45 Hậu Giang, Phường 4, Quận Tân Bình Số điện thoại:",Số điện thoại: (028) 3811 1006
168,"37-39 Phạm Viết Chánh, Phường 19, Quận Bình Thạnh Số điện thoại:",Số điện thoại: (028) 3840 8008
169,"475A Điện Biên Phủ, Phường 25, Quận Bình Thạnh Số điện thoại:",Số điện thoại: (028) 3510 6067
170,"10A Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh Số điện thoại:",Số điện thoại: (028) 3510 1677
171,"101 Hòa Hưng, Phường 12, Quận 10 Số điện thoại:",Số điện thoại: (028) 3979 8978
172,"129 - 131 Đường số 3, Cư Xá Đô Thành, Phường 4, Quận 3 Số điện thoại:",Số điện thoại: (028) 3834 1749
173,"245 Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh. Số điện thoại:",Số điện thoại: (028) 3515 0783
174,"02 Trần Doãn Khanh, Phường Đa Kao, Quận 1 Số điện thoại:",Số điện thoại: (028) 3910 1233
175,"165 Bạch Đằng, Phường 2, Quận Tân Bình",Số điện thoại: (028) 3547 1213
176,"191 - 193 Nguyễn Hồng Đào, Phường 14, Quận Tân Bình",Số điện thoại: (028) 3849 4782
177,"77 Trần Thiện Chánh, Phường 12, Quận 10",Số điện thoại: (028) 3868 4543
178,"25A Lam Sơn, Phường 2, Quận Tân Bình",Số điện thoại: (028) 3547 0449
